URL,Title,Author,Number of Ratings,Number of Reviews,Average Ratings,Number of Pages,Published Year,Series,Genres,Awards,Places
"https://www.goodreads.com/book/show/15858.Mirror_Mirror""",Mirror Mirror,John Colapinto,29909,1676.0,3.2,280.0,2004,0.0,"['Fantasy', 'Fiction', 'Fairy Tales']",[],"[['Italy'], [''], ['Other Editions (23)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/261122.The_Dead_Girls_Dance""","The Dead Girls' Dance (The Morganville Vampires, #2)",Gregory Maguire,56009,1985.0,4.0,248.0,2007,1.0,"['Vampires', 'Young Adult', 'Paranormal']",[],"[['Morganville, Texas', '(United States)'], [''], ['Other Editions (51)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/18045891-sharp-objects""",Sharp Objects,Rachel Caine,735275,46932.0,3.9,254.0,2006,0.0,"['Mystery', 'Fiction', 'Thriller']","['Barry Award Nominee for Best First Novel (2007)', 'CWA New Blood Dagger (2007)', 'Edgar Award Nominee for Best First Novel (2007)', 'CWA Ian Fleming Steel Dagger (2007)']","[['Wind Gap, Missouri', '(United States)'], ['Chicago, Illinois', '(United States)'], ['Missouri', '(United States)']]"
"https://www.goodreads.com/book/show/3755250-the-kindly-ones""",The Kindly Ones,Gillian Flynn,11564,1156.0,3.9,984.0,2009,0.0,"['Fiction', 'Historical Fiction', 'War']","['Prix Goncourt (2006)', 'Independent Foreign Fiction Prize Nominee for Longlist (2010)', ""Grand Prix du Roman de l'Académie française (2006)"", 'Bad Sex in Fiction Award (2009)', 'The Athens Prize for Literature - Περιοδικό (δέ)κατα (2009)', 'French-American Foundation Translation Prize Nominee for Fiction (2009)', 'Национална награда „Христо Г. Данов“ for Преводна художествена литература (2010)']","[['Ukraine', 'Stalingrad, USSR', 'Berlin', '(Germany)'], ['…more\nKiev', '(Ukraine)'], ['Lutsk', '(Ukraine)'], ['Zhytomyr', '(Ukraine)'], ['Kharkiv', '(Ukraine)'], ['Yalta', '(Ukraine)'], ['Pyatigorsk', '(Russian Federation)'], ['Voroshilovsk', '(Russian Federation)'], ['Usedom', '(Germany)'], ['Paris', '(France)'], ['Lublin', '(Poland)'], ['Oświęcim (Auschwitz)', '(Poland)'], ['Auschwitz', '(Poland)'], ['Budapest', '(Hungary)'], ['…less']]"
"https://www.goodreads.com/book/show/944073.The_Blade_Itself""","The Blade Itself (The First Law, #1)",Jonathan Littell,177142,9619.0,4.1,515.0,2007,1.0,"['Fantasy', 'Fiction', 'Epic Fantasy']","['Locus Award Nominee for Best First Novel (2007)', 'Compton Crook Award Nominee (2008)', 'Tähtifantasia Award Nominee (2010)']",
"https://www.goodreads.com/book/show/22288.Haunted""",Haunted,Joe Abercrombie,100547,4439.0,3.6,419.0,2006,0.0,"['Fiction', 'Horror', 'Short Stories']",[],"[['United States of America'], [''], ['Other Editions (68)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/3575676-night-world-no-3""","Night World, No. 3 (Night World, #7-9)",Chuck Palahniuk,63846,839.0,4.2,732.0,2009,1.0,"['Young Adult', 'Vampires', 'Fantasy']",[],"[['United States of America'], [''], ['Other Editions (11)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/28250.The_Novice""","The Novice (Black Magician Trilogy, #2)",L.J. Smith,55542,1433.0,4.0,577.0,2004,1.0,"['Fantasy', 'Young Adult', 'Magic']",[],"[['Kyralia'], [''], ['Other Editions (77)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/2924318-home""",Home,Trudi Canavan,21999,3372.0,4.0,325.0,2008,1.0,"['Fiction', 'Historical Fiction', 'Novels']","['Orange Prize for Fiction (2009)', 'Los Angeles Times Book Prize for Fiction (2008)', 'National Book Critics Circle Award Nominee for Fiction (2008)', 'National Book Award Finalist for Fiction (2008)', 'International Dublin Literary Award Nominee for Shortlist (2010)']","[['Gilead, Iowa', '(United States)']]"
"https://www.goodreads.com/book/show/13891.Winter_s_Heart""","Winter's Heart (The Wheel of Time, #9)",Marilynne Robinson,109790,2235.0,3.9,780.0,2002,1.0,"['Fantasy', 'Fiction', 'Epic Fantasy']",[],
"https://www.goodreads.com/book/show/6613956-the-solitude-of-prime-numbers""",The Solitude of Prime Numbers,Robert Jordan,53218,4413.0,3.6,271.0,2010,0.0,"['Fiction', 'Contemporary', 'Italian Literature']","['Premio Strega (2008)', 'Premio Campiello for Opera Prima (2008)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2010)', ""Premio Alassio Centolibri - Un autore per l'Europa (2008)"", 'LovelyBooks Leserpreis for Bester Buchtitel (2009)']","[['Turin', '(Italy)']]"
"https://www.goodreads.com/book/show/6402364-superfreakonomics""","SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Paolo Giordano,123959,4593.0,3.9,270.0,2009,1.0,"['Nonfiction', 'Economics', 'Business']",[],
"https://www.goodreads.com/book/show/6457081-remarkable-creatures""",Remarkable Creatures,Steven D. Levitt,45005,4814.0,3.8,352.0,2009,0.0,"['Historical Fiction', 'Fiction', 'Historical']",[],"[['Lyme Regis, England,\n1820', '(United Kingdom)'], ['England', 'Yorkshire, England'], [''], ['Other Editions (68)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/15195.The_Complete_Maus""",The Complete Maus,Tracy Chevalier,150381,8521.0,4.5,296.0,2003,1.0,"['Graphic Novels', 'Comics', 'Nonfiction']","['Pulitzer Prize for Special Citation (1992)', 'American Book Award (1992)']","[['Sosnowiec', '(Poland)'], ['Auschwitz', '(Poland)']]"
"https://www.goodreads.com/book/show/84351.The_Secret_History_of_the_Pink_Carnation""","The Secret History of the Pink Carnation (Pink Carnation, #1)",Art Spiegelman,21957,2261.0,3.6,428.0,2006,1.0,"['Historical Fiction', 'Romance', 'Mystery']",[],"[['London, England,\n1803', '(United Kingdom)'], ['Paris,\n1803', '(France)'], [''], ['Other Editions (37)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/544257.Midnight_Alley""","Midnight Alley (The Morganville Vampires, #3)",Lauren Willig,58781,1524.0,4.0,245.0,2007,1.0,"['Vampires', 'Young Adult', 'Paranormal']",[],"[['Morganville, Texas', '(United States)'], [''], ['Other Editions (47)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/6526.Book_of_the_Dead""","Book of the Dead (Kay Scarpetta, #15)",Rachel Caine,29639,1592.0,3.6,511.0,2007,1.0,"['Mystery', 'Fiction', 'Crime']",['Galaxy British Book Awards for Crime Thriller of the Year Award (0)'],"[['Charleston, South Carolina', '(United States)']]"
"https://www.goodreads.com/book/show/3934321-nightfall""","Nightfall (The Vampire Diaries: The Return, #1)",Patricia Cornwell,48236,1750.0,3.5,586.0,2009,1.0,"['Vampires', 'Young Adult', 'Fantasy']",[],
"https://www.goodreads.com/book/show/34498.The_Truth""",The Truth,L.J. Smith,51439,958.0,4.2,336.0,2002,1.0,"['Fantasy', 'Fiction', 'Humor']",[],"[['Discworld', 'Ankh-Morpork'], [''], ['Other Editions (4)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/9833.Blind_Willow_Sleeping_Woman""","Blind Willow, Sleeping Woman",Stephen Briggs,32266,2223.0,3.8,333.0,2006,0.0,"['Short Stories', 'Fiction', 'Japan']","[""Frank O'Connor International Short Story Award (2006)"", 'Kiriyama Prize for Fiction (2007)']","[['Japan', 'South Pole', '(Antarctica)'], ['Singapore', '…more\nHawaii', '(United States)'], ['…less']]"
"https://www.goodreads.com/book/show/7822895-the-millennium-trilogy""","The Millennium Trilogy (Millennium Trilogy, #1-3)",(Adaptation),50330,1834.0,4.4,1531.0,2010,0.0,"['Fiction', 'Mystery', 'Thriller']",[],"[['Stockholm', '(Sweden)'], [''], ['Other Editions (49)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/50695.Everyman""",Everyman,Haruki Murakami,17114,1726.0,3.6,182.0,2007,0.0,"['Fiction', 'Literature', 'American']","['PEN/Faulkner Award for Fiction (2007)', 'Metų verstinė knyga Nominee (2019)']","[['New Jersey', '(United States)']]"
"https://www.goodreads.com/book/show/38619.Magic_Bites""","Magic Bites (Kate Daniels, #1)",Stieg Larsson,112074,7189.0,4.0,261.0,2007,1.0,"['Urban Fantasy', 'Fantasy', 'Paranormal']",['DABWAHA Romance Tournament for Best Novel with Romantic Elements/Crossover (2008)'],"[['Atlanta, Georgia,\n2040', '(United States)']]"
"https://www.goodreads.com/book/show/3570231-at-grave-s-end""","At Grave's End (Night Huntress, #3)",Philip Roth,84136,2795.0,4.2,342.0,2009,1.0,"['Vampires', 'Paranormal', 'Urban Fantasy']",[],"[['Richmond, Virginia', '(United States)'], ['British Columbia', '(Canada)'], ['Tennessee', '(United States)'], ['…more\nSouth Dakota', '(United States)'], ['…less'], ['Other Editions (39)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/2985500-night-world-no-2""","Night World, No. 2 (Night World, #4-6)",Ilona Andrews,57235,1050.0,4.2,662.0,2008,1.0,"['Young Adult', 'Vampires', 'Paranormal']",[],
"https://www.goodreads.com/book/show/5152478-wintergirls""",Wintergirls,Jeaniene Frost,111082,9161.0,3.9,278.0,2009,0.0,"['Young Adult', 'Contemporary', 'Fiction']","[""Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Novel (2009)"", 'Rhode Island Teen Book Award Nominee (2011)', 'Milwaukee County Teen Book Award (2010)', 'Michigan Library Association Thumbs Up! Award Nominee (2010)', 'Iowa High School Book Award Nominee (2011)', 'Lincoln Award Nominee (2014)', 'CYBILS Award Nominee for Young Adult Fiction (2009)', 'Literaturpreis der Jury der jungen Leser for Cover (2011)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2009)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2010)']","[['New Hampshire', '(United States)']]"
